office_name	longitude	latitude	streetname	streetnum	city	zipcode
Dallas	-96.691497802734	32.848526000977	Palace	10805	Dallas	75218
Houston Central	-95.514076232910	30.109203338623	Hickorycrest	6122	Spring	77389
Dallas	-96.636184692383	32.824054718018	Linhaven	2714	Mesquite	75150
Dallas	-97.021644000000	32.751850000000	Burleson	1313	Grand Prairie	75050
Denton	-97.373977661133	32.741741180420	Lafayette	3808	Fort Worth	76107
Atlanta	-84.432662963867	33.731189727783	Richland	1375	Atlanta	30310
Los Angeles	-118.415672302250	34.021366119385	Kelton	3532	Los Angeles	90034
Austin	-97.641670000000	30.453729000000	Parkway	16415	Pflugerville	78660
Austin	-97.830825805664	30.125284194946	Viento del Sur	13003	Manchaca	78652
Fort Worth	-96.998847000000	32.723373000000	Acosta	1606	Grand Prairie	75051
Dallas	-96.830848693848	32.747470855713	Melba	513	Dallas	75208
Austin	-97.952987670898	29.939582824707	Merrywood	204	San Marcos	78666
San Antonio	-98.500366210938	29.405788421631	Fest	220	San Antonio	78204
Fort Worth	-97.226127624512	33.001544952393	Pine	408	Roanoke	76262
Dallas	-96.709091186523	32.791416168213	Enchanted	5218	Dallas	75227
St. Petersburg	-82.602302551270	27.808338165283	OVERLOOK	4007	ST PETERSBURG	33703
Austin	-97.708854675293	30.333929061890	Lisa	209	Austin	78752
Dallas	-96.797004000000	32.894477000000	Royal	6330	Dallas	75230
Dallas	-96.701820373535	32.806682586670	Banquo	8492	Dallas	75228
Fort Worth	-97.383323000000	32.658908000000	Wharton	5733	Fort Worth	76133
Atlanta	-84.647148132324	33.906799316406	Hannah	1838	Powder Springs	30127
Dallas	-96.876510000000	32.692211000000	Willow Crest	3405	Dallas	75233
Fort Worth	-97.362716674805	32.498321533203	Oakbrook	543	Burleson	76028
Dallas	-96.865997314453	32.903633117676	Dartmoor	3240	Dallas	75229
Fort Worth	-97.343101501465	32.708328247070	Ryan	2932	Fort Worth	76110
Philadelphia	-75.159446716309	39.923450469971	8th	2019	Philadelphia	19148
Fort Worth	-97.267219543457	32.803874969482	Meadow Oaks	3129	Haltom City	76117
Fort Worth	-97.099868774414	32.718219757080	Kelly	708	Arlington	76010
Denton	-97.116493225098	33.221820831299	Paco	1304	Denton	76206
Dallas	-96.808242797852	33.009368896484	Sand Shell	5810	Dallas	75252
Philadelphia	-75.174819946289	39.935703277588	Titan	1827	Philadelphia	19146
Fort Worth	-96.609672546387	32.779811859131	Alta Vista	1418	Mesquite	75149
Denton	-96.888473000000	33.079414000000	Alta Oaks	4844	The Colony	75056
Houston Central	-95.130607604980	29.564367294312	Wavecrest	963	Houston	77062
Fort Worth	-97.234107971191	32.766010284424	Oakmont	5621	Fort Worth	76112
Fort Worth	-97.363807678223	32.663539886475	WREN	3405	Fort Worth	76133
Los Angeles	-116.534179687500	33.845916748047	Caleta	1250	Palm Springs	92262
Fort Worth	-97.223876953125	32.821525573730	Richlynn	7225	Richland Hills	76118
Fort Worth	-97.303680419922	32.788444519043	Springdale	2909	Fort Worth	76111
Austin	-97.793853759766	30.197505950928	Echo	1001	Austin	78745
San Antonio	-98.619606018066	29.548395156860	SPRING LARK ST	6612	San Antonio	78249
Denton	-97.031738281250	33.141094207764	Winding Oak	769	Lake Dallas	75065
Los Angeles	-117.878677368160	33.772861480713	Freeman	2623	Santa Ana	92706
Fort Worth	-97.224792000000	32.862049000000	Sudbury	6328	North Richland Hills	76182
San Antonio	-98.647926330566	29.461368560791	Kingswell	2523	San Antonio	78251
Fort Worth	-96.710075378418	32.783199310303	Hazelhurst	4821	Dallas	75227
Fort Worth	-97.224990000000	32.828784000000	Briley	7321	North Richland Hills	76180
Fort Worth	-97.470825000000	32.731201000000	San Marcos	2945	Fort Worth	76116
San Antonio	-98.514785766602	29.422901153564	Las Moras	418	San Antonio	78148
San Antonio	-98.359184265137	29.507577896118	Shadow Frst	8006	San Antonio	78239
Fort Worth	-97.127021000000	32.567512000000	Willow	115	Mansfield	76063
Dallas	-96.670890808105	32.840854644775	Winthrop	2428	Dallas	75228
Los Angeles	-117.632125854490	34.112781524658	Alta	1360	Upland	91786
St. Petersburg	-82.706794000000	27.787593000000	16th Avenue N	5393	Saint Petersburg	33710
San Antonio	-98.493797302246	29.564016342163	Arch Bluff	414	San Antonio	78216
Fort Worth	-97.372840000000	32.691764000000	Trail Lake #2	3916	Fort Woth	76109
